league,info,,,,
IY Cup  ,no,,,,
Id DCup  ,no,,,,
Ind PSL,no,,,,
Ind SC,no,,,,
Ind ST,no,,,,
India U21 DL,no,,,,
Indo D3,no,,,,
Indo D4,no,,,,
Iran Cup ,no,,,,
Ire LSL,no,,,,
Irish WNU,no,,,,
Ita U19 LW ,no,,,,
J-U NCH,no,,,,
J-U NCH W ,no,,,,
JAM D1 ,no,,,,
JAP CUP,no,,,,
JAP RL,no,,,,
JE Cup ,no,,,,
JOR D1  ,no,,,,
JOR D2,no,,,,
JOR SUC,no,,,,
JORC,no,,,,
JORC U19,no,,,,
JPN D1 ,jpn_j1-league,,,,
JPN D2,no,,,,
JPN D2off ,no,,,,
JPN D3,no,,,,
JPN JFL,no,,,,
JPN JFLOff,no,,,,
JPN LC    ,no,,,,
JPN SC ,no,,,,
JPN WD1,no,,,,
JW Cup ,no,,,,
JWD2,no,,,,
JWL ,no,,,,
Jord U19,no,,,,
Jordan L W ,no,,,,
KAZ C,no,,,,
KAZ C ,no,,,,
KAZ D1,no,,,,
KAZ PR ,kaz_premier-liga,,,,
KAZ SC     ,no,,,,
KCL ,no,,,,
KCL 4,no,,,,
KCL 4off  ,no,,,,
KFAC ,no,,,,
KG CUP   ,no,,,,
KOR D1,no,,,,
KOR D1CP,no,,,,
KOR D1DA,no,,,,
KOR D1Off ,no,,,,
KOR D2,no,,,,
KOR D2off,no,,,,
KOR WD1  ,no,,,,
KOR WD1off  ,no,,,,
KR D2R  ,no,,,,
KSA D1,no,,,,
KSA D2   ,no,,,,
KSA D2A,no,,,,
KSA D2B,no,,,,
KSA PR,no,,,,
KSA SC ,no,,,,
KSA WL,no,,,,
KSA YTH,no,,,,
KSCUP  ,no,,,,
KUW Cup ,no,,,,
KUW D1,no,,,,
KUW D1CG  ,no,,,,
KUW D1RF,no,,,,
KUW D2,no,,,,
KUWCPC ,no,,,,
KWSL ,no,,,,
Kazakhstan LC,no,,,,
Ken D1,no,,,,
Ken-SL,no,,,,
Kenya C   ,no,,,,
Kos D1,no,,,,
Kos D2,no,,,,
Kos L  ,kos_superliga,,,,
Kos U21,no,,,,
Kosovo CUP,no,,,,
Kyr TL,no,,,,
LAT Cup,no,,,,
